contig_name	sequence_length	frac_gc	contig_group	contig_type
CM000994.3	195154279	0.411461	mouse_autosome	autosomal
GL456210.1	169725	0.440094	mouse_autosome	autosomal
GL456211.1	241735	0.439192	mouse_autosome	autosomal
GL456212.1	153618	0.437312	mouse_autosome	autosomal
GL456221.1	206961	0.435570	mouse_autosome	autosomal
MU069434.1	8412	0.481574	mouse_autosome	autosomal
GL456239.1	40056	0.425130	mouse_autosome	autosomal
CM000995.3	181755017	0.420841	mouse_autosome	autosomal
CM000996.3	159745316	0.404517	mouse_autosome	autosomal
CM000997.3	156860686	0.422848	mouse_autosome	autosomal
JH584295.1	1976	0.618421	mouse_autosome	autosomal
CM000998.3	151758149	0.425353	mouse_autosome	autosomal
JH584296.1	199368	0.409930	mouse_autosome	autosomal
JH584297.1	205776	0.409290	mouse_autosome	autosomal
JH584298.1	184189	0.410491	mouse_autosome	autosomal
GL456354.1	195993	0.411178	mouse_autosome	autosomal
JH584299.1	953012	0.410440	mouse_autosome	autosomal
CM000999.3	149588044	0.414172	mouse_autosome	autosomal
CM001000.3	144995196	0.430627	mouse_autosome	autosomal
GL456219.1	175968	0.401266	mouse_autosome	autosomal
CM001001.3	130127694	0.423704	mouse_autosome	autosomal
CM001002.3	124359700	0.427060	mouse_autosome	autosomal
CM001003.3	130530862	0.414038	mouse_autosome	autosomal
CM001004.3	121973369	0.438076	mouse_autosome	autosomal
CM001005.3	120092757	0.417362	mouse_autosome	autosomal
CM001006.3	120883175	0.416210	mouse_autosome	autosomal
CM001007.3	125139656	0.411500	mouse_autosome	autosomal
CM001008.3	104073951	0.419615	mouse_autosome	autosomal
CM001009.3	98008968	0.409411	mouse_autosome	autosomal
CM001010.3	95294699	0.426986	mouse_autosome	autosomal
CM001011.3	90720763	0.414415	mouse_autosome	autosomal
CM001012.3	61420004	0.427295	mouse_autosome	autosomal
CM001013.3	169476592	0.392675	mouse_sex	sex_chromosome
GL456233.2	559103	0.378314	mouse_autosome	autosomal
CM001014.3	91455967	0.388831	mouse_sex	sex_chromosome
JH584300.1	182347	0.393727	mouse_autosome	autosomal
JH584301.1	259875	0.391919	mouse_autosome	autosomal
JH584302.1	155838	0.389975	mouse_autosome	autosomal
JH584303.1	158099	0.398238	mouse_autosome	autosomal
GL456367.1	42057	0.374203	mouse_autosome	autosomal
GL456378.1	31602	0.405811	mouse_autosome	autosomal
GL456381.1	25871	0.475452	mouse_autosome	autosomal
GL456382.1	23158	0.379535	mouse_autosome	autosomal
GL456383.1	38659	0.366302	mouse_autosome	autosomal
GL456385.1	35240	0.391406	mouse_autosome	autosomal
GL456390.1	24668	0.372680	mouse_autosome	autosomal
GL456392.1	23629	0.371822	mouse_autosome	autosomal
GL456394.1	24323	0.406527	mouse_autosome	autosomal
GL456359.1	22974	0.387121	mouse_autosome	autosomal
GL456360.1	31704	0.403165	mouse_autosome	autosomal
GL456396.1	21240	0.415411	mouse_autosome	autosomal
GL456372.1	28664	0.450314	mouse_autosome	autosomal
GL456387.1	24685	0.492511	mouse_autosome	autosomal
GL456389.1	28772	0.420955	mouse_autosome	autosomal
GL456370.1	26764	0.287519	mouse_autosome	autosomal
GL456379.1	72385	0.381778	mouse_autosome	autosomal
GL456366.1	47073	0.407444	mouse_autosome	autosomal
GL456368.1	20208	0.375987	mouse_autosome	autosomal
JH584304.1	114452	0.421679	mouse_autosome	autosomal
MU069435.1	31129	0.417103	mouse_autosome	autosomal
AY172335.1	16299	0.367446	mouse_mito	organelle
phage_lambda	48502	0.498577	lambda	control
plasmid_puc19c	2686	0.506329	pUC19	control
phage_T4	168903	0.352984	T4	control
phage_Xp12	64272	0.681868	Xp12	control
