contig_name	sequence_length	frac_gc	contig_group	contig_type
chr1	248387328	0.415003	human_autosome	autosomal
chr2	242696752	0.402384	human_autosome	autosomal
chr3	201105948	0.394389	human_autosome	autosomal
chr4	193574945	0.381309	human_autosome	autosomal
chr5	182045439	0.395244	human_autosome	autosomal
chr6	172126628	0.396116	human_autosome	autosomal
chr7	160567428	0.407184	human_autosome	autosomal
chr8	146259331	0.402332	human_autosome	autosomal
chr9	150617247	0.413461	human_autosome	autosomal
chr10	134758134	0.415390	human_autosome	autosomal
chr11	135127769	0.415531	human_autosome	autosomal
chr12	133324548	0.407746	human_autosome	autosomal
chr13	113566686	0.383205	human_autosome	autosomal
chr14	101161492	0.410670	human_autosome	autosomal
chr15	99753195	0.421158	human_autosome	autosomal
chr16	96330374	0.435331	human_autosome	autosomal
chr17	84276897	0.452839	human_autosome	autosomal
chr18	80542538	0.398008	human_autosome	autosomal
chr19	61707364	0.476621	human_autosome	autosomal
chr20	66210255	0.437182	human_autosome	autosomal
chr21	45090682	0.416452	human_autosome	autosomal
chr22	51324926	0.458491	human_autosome	autosomal
chrX	154259566	0.395106	human_sex	sex_chromosome
chrY	62460029	0.361454	human_sex	sex_chromosome
chrM	16569	0.443720	human_mito	organelle
chrEBV	171823	0.594967	EBV	control
phage_lambda	48502	0.498577	lambda	control
plasmid_puc19c	2686	0.506329	pUC19	control
phage_T4	168903	0.352984	T4	control
phage_Xp12	64272	0.681868	Xp12	control
