contig_name	sequence_length	frac_gc	contig_group	contig_type
chr1	248956422	0.417243	human_autosome	autosomal
chr2	242193529	0.402286	human_autosome	autosomal
chr3	198295559	0.396657	human_autosome	autosomal
chr4	190214555	0.382435	human_autosome	autosomal
chr5	181538259	0.395101	human_autosome	autosomal
chr6	170805979	0.396052	human_autosome	autosomal
chr7	159345973	0.406975	human_autosome	autosomal
chr8	145138636	0.401566	human_autosome	autosomal
chr9	138394717	0.412762	human_autosome	autosomal
chr10	133797422	0.415415	human_autosome	autosomal
chr11	135086622	0.415398	human_autosome	autosomal
chr12	133275309	0.407664	human_autosome	autosomal
chr13	114364328	0.385503	human_autosome	autosomal
chr14	107043718	0.408877	human_autosome	autosomal
chr15	101991189	0.420348	human_autosome	autosomal
chr16	90338345	0.445844	human_autosome	autosomal
chr17	83257441	0.453152	human_autosome	autosomal
chr18	80373285	0.397756	human_autosome	autosomal
chr19	58617616	0.483565	human_autosome	autosomal
chr20	64444167	0.438047	human_autosome	autosomal
chr21	46709983	0.410685	human_autosome	autosomal
chr22	50818468	0.474827	human_autosome	autosomal
chrX	156040895	0.395250	human_sex	sex_chromosome
chrY	57227415	0.391884	human_sex	sex_chromosome
chrM	16569	0.443626	human_mito	organelle
chr1_KI270706v1_random	175055	0.420531	human_autosome	autosomal
chr1_KI270707v1_random	32032	0.427916	human_autosome	autosomal
chr1_KI270708v1_random	127682	0.410167	human_autosome	autosomal
chr1_KI270709v1_random	66860	0.370027	human_autosome	autosomal
chr1_KI270710v1_random	40176	0.356506	human_autosome	autosomal
chr1_KI270711v1_random	42210	0.428785	human_autosome	autosomal
chr1_KI270712v1_random	176043	0.454798	human_autosome	autosomal
chr1_KI270713v1_random	40745	0.476598	human_autosome	autosomal
chr1_KI270714v1_random	41717	0.546516	human_autosome	autosomal
chr2_KI270715v1_random	161471	0.384651	human_autosome	autosomal
chr2_KI270716v1_random	153799	0.382369	human_autosome	autosomal
chr3_GL000221v1_random	155397	0.386352	human_autosome	autosomal
chr4_GL000008v2_random	209709	0.401342	human_autosome	autosomal
chr5_GL000208v1_random	92689	0.376614	human_autosome	autosomal
chr9_KI270717v1_random	40062	0.405821	human_autosome	autosomal
chr9_KI270718v1_random	38054	0.385557	human_autosome	autosomal
chr9_KI270719v1_random	176845	0.380831	human_autosome	autosomal
chr9_KI270720v1_random	39050	0.377337	human_autosome	autosomal
chr11_KI270721v1_random	100316	0.618585	human_autosome	autosomal
chr14_GL000009v2_random	201709	0.400557	human_autosome	autosomal
chr14_GL000225v1_random	211173	0.476533	human_autosome	autosomal
